dummy;dummy;measured;a1_paper;a2_paper;b1_paper;b2_paper
y1961;AFR;1995;1995;1995;1995;1995
y1961;CPA;1452;1452;1452;1452;1452
y1961;EUR;3020;3020;3020;3020;3020
y1961;FSU;3132;3132;3132;3132;3132
y1961;LAM;2253;2253;2253;2253;2253
y1961;MEA;1960;1960;1960;1960;1960
y1961;NAM;2874;2874;2874;2874;2874
y1961;PAO;2588;2588;2588;2588;2588
y1961;PAS;1877;1877;1877;1877;1877
y1961;SAS;2000;2000;2000;2000;2000
y1962;AFR;2022;2022;2022;2022;2022
y1962;CPA;1559;1559;1559;1559;1559
y1962;EUR;3051;3051;3051;3051;3051
y1962;FSU;3194;3194;3194;3194;3194
y1962;LAM;2278;2278;2278;2278;2278
y1962;MEA;1994;1994;1994;1994;1994
y1962;NAM;2859;2859;2859;2859;2859
y1962;PAO;2635;2635;2635;2635;2635
y1962;PAS;1893;1893;1893;1893;1893
y1962;SAS;2035;2035;2035;2035;2035
y1963;AFR;2025;2025;2025;2025;2025
y1963;CPA;1627;1627;1627;1627;1627
y1963;EUR;3069;3069;3069;3069;3069
y1963;FSU;3240;3240;3240;3240;3240
y1963;LAM;2265;2265;2265;2265;2265
y1963;MEA;2008;2008;2008;2008;2008
y1963;NAM;2867;2867;2867;2867;2867
y1963;PAO;2671;2671;2671;2671;2671
y1963;PAS;1920;1920;1920;1920;1920
y1963;SAS;1984;1984;1984;1984;1984
y1964;AFR;2028;2028;2028;2028;2028
y1964;CPA;1698;1698;1698;1698;1698
y1964;EUR;3081;3081;3081;3081;3081
y1964;FSU;3241;3241;3241;3241;3241
y1964;LAM;2321;2321;2321;2321;2321
y1964;MEA;2054;2054;2054;2054;2054
y1964;NAM;2917;2917;2917;2917;2917
y1964;PAO;2690;2690;2690;2690;2690
y1964;PAS;1953;1953;1953;1953;1953
y1964;SAS;2014;2014;2014;2014;2014
y1965;AFR;2023;2023;2023;2023;2023
y1965;CPA;1821;1821;1821;1821;1821
y1965;EUR;3104;3104;3104;3104;3104
y1965;FSU;3248;3248;3248;3248;3248
y1965;LAM;2340;2340;2340;2340;2340
y1965;MEA;2079;2079;2079;2079;2079
y1965;NAM;2926;2926;2926;2926;2926
y1965;PAO;2677;2677;2677;2677;2677
y1965;PAS;1949;1949;1949;1949;1949
y1965;SAS;1971;1971;1971;1971;1971
y1966;AFR;1982;1982;1982;1982;1982
y1966;CPA;1884;1884;1884;1884;1884
