dummy;dummy;measured;a1_paper;a2_paper;b1_paper;b2_paper
y1961;AFR;673;673;673;673;673
y1961;CPA;90;90;90;90;90
y1961;EUR;8934;8934;8934;8934;8934
y1961;FSU;NaN;NaN;NaN;NaN;NaN
y1961;LAM;2323;2323;2323;2323;2323
y1961;MEA;1341;1341;1341;1341;1341
y1961;NAM;14837;14837;14837;14837;14837
y1961;PAO;7804;7804;7804;7804;7804
y1961;PAS;567;567;567;567;567
y1961;SAS;201;201;201;201;201
y1962;AFR;690;690;690;690;690
y1962;CPA;84;84;84;84;84
y1962;EUR;9264;9264;9264;9264;9264
y1962;FSU;NaN;NaN;NaN;NaN;NaN
y1962;LAM;2366;2366;2366;2366;2366
y1962;MEA;1327;1327;1327;1327;1327
y1962;NAM;15600;15600;15600;15600;15600
y1962;PAO;8401;8401;8401;8401;8401
y1962;PAS;573;573;573;573;573
y1962;SAS;203;203;203;203;203
y1963;AFR;715;715;715;715;715
y1963;CPA;91;91;91;91;91
y1963;EUR;9654;9654;9654;9654;9654
y1963;FSU;NaN;NaN;NaN;NaN;NaN
y1963;LAM;2372;2372;2372;2372;2372
y1963;MEA;1487;1487;1487;1487;1487
y1963;NAM;16105;16105;16105;16105;16105
y1963;PAO;9012;9012;9012;9012;9012
y1963;PAS;590;590;590;590;590
y1963;SAS;210;210;210;210;210
y1964;AFR;741;741;741;741;741
y1964;CPA;103;103;103;103;103
y1964;EUR;10073;10073;10073;10073;10073
y1964;FSU;NaN;NaN;NaN;NaN;NaN
y1964;LAM;2489;2489;2489;2489;2489
y1964;MEA;1549;1549;1549;1549;1549
y1964;NAM;16862;16862;16862;16862;16862
y1964;PAO;9939;9939;9939;9939;9939
y1964;PAS;607;607;607;607;607
y1964;SAS;221;221;221;221;221
y1965;AFR;772;772;772;772;772
y1965;CPA;117;117;117;117;117
y1965;EUR;10387;10387;10387;10387;10387
y1965;FSU;NaN;NaN;NaN;NaN;NaN
y1965;LAM;2545;2545;2545;2545;2545
y1965;MEA;1617;1617;1617;1617;1617
y1965;NAM;17657;17657;17657;17657;17657
y1965;PAO;10409;10409;10409;10409;10409
y1965;PAS;620;620;620;620;620
y1965;SAS;253;253;253;253;253
y1966;AFR;770;770;770;770;770
y1966;CPA;126;126;126;126;126
y1966;EUR;10729;10729;10729;10729;10729
y1966;FSU;NaN;NaN;NaN;NaN;NaN
y1966;LAM;2587;2587;2587;2587;2587
y1966;MEA;1593;1593;1593;1593;1593
y1966;NAM;18471;18471;18471;18471;18471
y1966;PAO;11251;11251;11251;11251;11251
y1966;PAS;654;654;654;654;654
y1966;SAS;249;249;249;249;249
y1967;AFR;765;765;765;765;765
y1967;CPA;115;115;115;115;115
y1967;EUR;11096;11096;11096;11096;11096
y1967;FSU;NaN;NaN;NaN;NaN;NaN
y1967;LAM;2635;2635;2635;2635;2635
y1967;MEA;1664;1664;1664;1664;1664
y1967;NAM;18669;18669;18669;18669;18669
y1967;PAO;12238;12238;12238;12238;12238
y1967;PAS;670;670;670;670;670
y1967;SAS;259;259;259;259;259
y1968;AFR;772;772;772;772;772
y1968;CPA;108;108;108;108;108
y1968;EUR;11539;11539;11539;11539;11539
y1968;FSU;NaN;NaN;NaN;NaN;NaN
y1968;LAM;2768;2768;2768;2768;2768
y1968;MEA;1805;1805;1805;1805;1805
y1968;NAM;19342;19342;19342;19342;19342
y1968;PAO;13572;13572;13572;13572;13572
y1968;PAS;718;718;718;718;718
y1968;SAS;264;264;264;264;264
y1969;AFR;807;807;807;807;807
y1969;CPA;123;123;123;123;123
y1969;EUR;12080;12080;12080;12080;12080
y1969;FSU;NaN;NaN;NaN;NaN;NaN
y1969;LAM;2858;2858;2858;2858;2858
y1969;MEA;1937;1937;1937;1937;1937
y1969;NAM;20083;20083;20083;20083;20083
y1969;PAO;14852;14852;14852;14852;14852
y1969;PAS;766;766;766;766;766
y1969;SAS;273;273;273;273;273
y1970;AFR;854;854;854;854;854
y1970;CPA;143;143;143;143;143
y1970;EUR;12571;12571;12571;12571;12571
y1970;FSU;2128;2128;2128;2128;2128
y1970;LAM;2970;2970;2970;2970;2970
y1970;MEA;2061;2061;2061;2061;2061
y1970;NAM;20316;20316;20316;20316;20316
y1970;PAO;15332;15332;15332;15332;15332
y1970;PAS;805;805;805;805;805
y1970;SAS;282;282;282;282;282
y1971;AFR;886;886;886;886;886
y1971;CPA;148;148;148;148;148
y1971;EUR;12929;12929;12929;12929;12929
y1971;FSU;2216;2216;2216;2216;2216
y1971;LAM;3079;3079;3079;3079;3079
y1971;MEA;2200;2200;2200;2200;2200
y1971;NAM;20760;20760;20760;20760;20760
y1971;PAO;15796;15796;15796;15796;15796
y1971;PAS;841;841;841;841;841
y1971;SAS;277;277;277;277;277
y1972;AFR;886;886;886;886;886
y1972;CPA;150;150;150;150;150
y1972;EUR;13414;13414;13414;13414;13414
y1972;FSU;2255;2255;2255;2255;2255
y1972;LAM;3220;3220;3220;3220;3220
y1972;MEA;2534;2534;2534;2534;2534
y1972;NAM;21661;21661;21661;21661;21661
y1972;PAO;16778;16778;16778;16778;16778
y1972;PAS;868;868;868;868;868
y1972;SAS;267;267;267;267;267
y1973;AFR;896;896;896;896;896
y1973;CPA;159;159;159;159;159
y1973;EUR;14111;14111;14111;14111;14111
y1973;FSU;2406;2406;2406;2406;2406
y1973;LAM;3403;3403;3403;3403;3403
y1973;MEA;2724;2724;2724;2724;2724
y1973;NAM;22727;22727;22727;22727;22727
y1973;PAO;17851;17851;17851;17851;17851
y1973;PAS;939;939;939;939;939
y1973;SAS;270;270;270;270;270
y1974;AFR;939;939;939;939;939
y1974;CPA;159;159;159;159;159
y1974;EUR;14397;14397;14397;14397;14397
y1974;FSU;2500;2500;2500;2500;2500
y1974;LAM;3529;3529;3529;3529;3529
y1974;MEA;3032;3032;3032;3032;3032
y1974;NAM;22464;22464;22464;22464;22464
y1974;PAO;17423;17423;17423;17423;17423
y1974;PAS;978;978;978;978;978
y1974;SAS;270;270;270;270;270
y1975;AFR;925;925;925;925;925
y1975;CPA;170;170;170;170;170
y1975;EUR;14253;14253;14253;14253;14253
y1975;FSU;2547;2547;2547;2547;2547
y1975;LAM;3581;3581;3581;3581;3581
y1975;MEA;3123;3123;3123;3123;3123
y1975;NAM;22220;22220;22220;22220;22220
y1975;PAO;17621;17621;17621;17621;17621
y1975;PAS;1006;1006;1006;1006;1006
y1975;SAS;283;283;283;283;283
y1976;AFR;947;947;947;947;947
y1976;CPA;164;164;164;164;164
y1976;EUR;14810;14810;14810;14810;14810
y1976;FSU;2680;2680;2680;2680;2680
y1976;LAM;3699;3699;3699;3699;3699
y1976;MEA;3403;3403;3403;3403;3403
y1976;NAM;23190;23190;23190;23190;23190
y1976;PAO;18140;18140;18140;18140;18140
y1976;PAS;1077;1077;1077;1077;1077
y1976;SAS;283;283;283;283;283
y1977;AFR;939;939;939;939;939
y1977;CPA;175;175;175;175;175
y1977;EUR;15168;15168;15168;15168;15168
y1977;FSU;2795;2795;2795;2795;2795
y1977;LAM;3780;3780;3780;3780;3780
y1977;MEA;3473;3473;3473;3473;3473
y1977;NAM;23995;23995;23995;23995;23995
y1977;PAO;18698;18698;18698;18698;18698
y1977;PAS;1147;1147;1147;1147;1147
y1977;SAS;294;294;294;294;294
y1978;AFR;924;924;924;924;924
y1978;CPA;192;192;192;192;192
y1978;EUR;15550;15550;15550;15550;15550
y1978;FSU;2914;2914;2914;2914;2914
y1978;LAM;3861;3861;3861;3861;3861
y1978;MEA;3385;3385;3385;3385;3385
y1978;NAM;25044;25044;25044;25044;25044
y1978;PAO;19387;19387;19387;19387;19387
y1978;PAS;1217;1217;1217;1217;1217
y1978;SAS;304;304;304;304;304
y1979;AFR;934;934;934;934;934
y1979;CPA;204;204;204;204;204
y1979;EUR;16010;16010;16010;16010;16010
y1979;FSU;2989;2989;2989;2989;2989
y1979;LAM;4035;4035;4035;4035;4035
y1979;MEA;3494;3494;3494;3494;3494
y1979;NAM;25565;25565;25565;25565;25565
y1979;PAO;20226;20226;20226;20226;20226
y1979;PAS;1275;1275;1275;1275;1275
y1979;SAS;288;288;288;288;288
y1980;AFR;944;944;944;944;944
y1980;CPA;218;218;218;218;218
y1980;EUR;16141;16141;16141;16141;16141
y1980;FSU;3108;3108;3108;3108;3108
y1980;LAM;4200;4200;4200;4200;4200
y1980;MEA;3546;3546;3546;3546;3546
y1980;NAM;25294;25294;25294;25294;25294
y1980;PAO;20624;20624;20624;20624;20624
y1980;PAS;1282;1282;1282;1282;1282
y1980;SAS;299;299;299;299;299
y1981;AFR;934;934;934;934;934
y1981;CPA;226;226;226;226;226
y1981;EUR;16076;16076;16076;16076;16076
y1981;FSU;3243;3243;3243;3243;3243
y1981;LAM;4174;4174;4174;4174;4174
y1981;MEA;3528;3528;3528;3528;3528
y1981;NAM;25699;25699;25699;25699;25699
y1981;PAO;21285;21285;21285;21285;21285
y1981;PAS;1326;1326;1326;1326;1326
y1981;SAS;310;310;310;310;310
y1982;AFR;913;913;913;913;913
y1982;CPA;243;243;243;243;243
y1982;EUR;16145;16145;16145;16145;16145
y1982;FSU;3457;3457;3457;3457;3457
y1982;LAM;4054;4054;4054;4054;4054
y1982;MEA;3383;3383;3383;3383;3383
y1982;NAM;24925;24925;24925;24925;24925
y1982;PAO;21829;21829;21829;21829;21829
y1982;PAS;1363;1363;1363;1363;1363
y1982;SAS;315;315;315;315;315
y1983;AFR;875;875;875;875;875
y1983;CPA;265;265;265;265;265
y1983;EUR;16386;16386;16386;16386;16386
y1983;FSU;3587;3587;3587;3587;3587
y1983;LAM;3853;3853;3853;3853;3853
y1983;MEA;3289;3289;3289;3289;3289
y1983;NAM;25771;25771;25771;25771;25771
y1983;PAO;22198;22198;22198;22198;22198
y1983;PAS;1439;1439;1439;1439;1439
y1983;SAS;329;329;329;329;329
y1984;AFR;869;869;869;869;869
y1984;CPA;301;301;301;301;301
y1984;EUR;16771;16771;16771;16771;16771
y1984;FSU;3699;3699;3699;3699;3699
y1984;LAM;3922;3922;3922;3922;3922
y1984;MEA;3214;3214;3214;3214;3214
y1984;NAM;27354;27354;27354;27354;27354
y1984;PAO;23034;23034;23034;23034;23034
y1984;PAS;1488;1488;1488;1488;1488
y1984;SAS;335;335;335;335;335
y1985;AFR;857;857;857;857;857
y1985;CPA;336;336;336;336;336
y1985;EUR;17136;17136;17136;17136;17136
y1985;FSU;3718;3718;3718;3718;3718
y1985;LAM;3971;3971;3971;3971;3971
y1985;MEA;3130;3130;3130;3130;3130
y1985;NAM;28242;28242;28242;28242;28242
y1985;PAO;24268;24268;24268;24268;24268
y1985;PAS;1510;1510;1510;1510;1510
y1985;SAS;345;345;345;345;345
y1986;AFR;848;848;848;848;848
y1986;CPA;359;359;359;359;359
y1986;EUR;17559;17559;17559;17559;17559
y1986;FSU;3732;3732;3732;3732;3732
y1986;LAM;4024;4024;4024;4024;4024
y1986;MEA;3021;3021;3021;3021;3021
y1986;NAM;28915;28915;28915;28915;28915
y1986;PAO;24822;24822;24822;24822;24822
y1986;PAS;1591;1591;1591;1591;1591
y1986;SAS;354;354;354;354;354
y1987;AFR;842;842;842;842;842
y1987;CPA;393;393;393;393;393
y1987;EUR;17983;17983;17983;17983;17983
y1987;FSU;3775;3775;3775;3775;3775
y1987;LAM;4069;4069;4069;4069;4069
y1987;MEA;2938;2938;2938;2938;2938
y1987;NAM;29579;29579;29579;29579;29579
y1987;PAO;25617;25617;25617;25617;25617
y1987;PAS;1693;1693;1693;1693;1693
y1987;SAS;361;361;361;361;361
y1988;AFR;856;856;856;856;856
y1988;CPA;429;429;429;429;429
y1988;EUR;18603;18603;18603;18603;18603
y1988;FSU;3928;3928;3928;3928;3928
y1988;LAM;4026;4026;4026;4026;4026
y1988;MEA;2939;2939;2939;2939;2939
y1988;NAM;30525;30525;30525;30525;30525
y1988;PAO;27204;27204;27204;27204;27204
y1988;PAS;1821;1821;1821;1821;1821
y1988;SAS;384;384;384;384;384
y1989;AFR;861;861;861;861;861
y1989;CPA;440;440;440;440;440
y1989;EUR;19120;19120;19120;19120;19120
y1989;FSU;4126;4126;4126;4126;4126
y1989;LAM;4018;4018;4018;4018;4018
y1989;MEA;2920;2920;2920;2920;2920
y1989;NAM;31264;31264;31264;31264;31264
y1989;PAO;28451;28451;28451;28451;28451
y1989;PAS;1930;1930;1930;1930;1930
y1989;SAS;396;396;396;396;396
y1990;AFR;850;850;850;850;850
y1990;CPA;450;450;450;450;450
y1990;EUR;19524;19524;19524;19524;19524
y1990;FSU;3972;3972;3972;3972;3972
y1990;LAM;3967;3967;3967;3967;3967
y1990;MEA;3080;3080;3080;3080;3080
y1990;NAM;31431;31431;31431;31431;31431
y1990;PAO;29784;29784;29784;29784;29784
y1990;PAS;2062;2062;2062;2062;2062
y1990;SAS;409;409;409;409;409
y1991;AFR;836;859;853;825;850
y1991;CPA;484;488;474;504;509
y1991;EUR;19630;19842;19808;19641;19882
y1991;FSU;3722;3872;3825;3644;3892
y1991;LAM;4041;4030;4041;3990;4061
y1991;MEA;3139;3122;3138;3039;3099
y1991;NAM;30883;32048;32033;31810;32184
y1991;PAO;30507;30221;30342;30136;30319
y1991;PAS;2195;2150;2145;2227;2250
y1991;SAS;408;423;422;422;413
y1992;AFR;809;867;856;801;850
y1992;CPA;544;524;497;556;566
y1992;EUR;19735;20157;20089;19756;20237
y1992;FSU;3190;3772;3680;3317;3813
y1992;LAM;4088;4091;4113;4012;4151
y1992;MEA;3199;3162;3193;3000;3116
y1992;NAM;31435;32656;32627;32183;32922
y1992;PAO;30634;30654;30895;30485;30850
y1992;PAS;2294;2237;2228;2390;2431
y1992;SAS;423;435;434;434;416
y1993;AFR;793;875;859;778;850
y1993;CPA;612;559;518;606;622
y1993;EUR;19643;20470;20368;19871;20590
y1993;FSU;2879;3672;3534;2990;3735
y1993;LAM;4145;4149;4182;4033;4239
y1993;MEA;3193;3201;3245;2962;3132
y1993;NAM;31907;33254;33210;32551;33646
y1993;PAO;30719;31084;31443;30831;31376
y1993;PAS;2406;2322;2309;2549;2607
y1993;SAS;433;448;445;445;419
y1994;AFR;787;883;862;757;850
y1994;CPA;683;593;540;655;677
y1994;EUR;20099;20779;20644;19984;20939
y1994;FSU;2481;3573;3389;2664;3656
y1994;LAM;4263;4206;4248;4054;4324
y1994;MEA;3225;3237;3295;2926;3147
y1994;NAM;32842;33843;33785;32912;34355
y1994;PAO;30957;31509;31987;31174;31899
