dummy;dummy;measured;a1_paper;a2_paper;b1_paper;b2_paper
y1961;AFR;215;215;215;215;215
y1961;CPA;704;704;704;704;704
y1961;EUR;464;464;464;464;464
y1961;FSU;210;210;210;210;210
y1961;LAM;221;221;221;221;221
y1961;MEA;99;99;99;99;99
y1961;NAM;202;202;202;202;202
y1961;PAO;108;108;108;108;108
y1961;PAS;198;198;198;198;198
y1961;SAS;589;589;589;589;589
y1962;AFR;221;221;221;221;221
y1962;CPA;711;711;711;711;711
y1962;EUR;469;469;469;469;469
y1962;FSU;214;214;214;214;214
y1962;LAM;228;228;228;228;228
y1962;MEA;102;102;102;102;102
y1962;NAM;205;205;205;205;205
y1962;PAO;109;109;109;109;109
y1962;PAS;203;203;203;203;203
y1962;SAS;602;602;602;602;602
y1963;AFR;226;226;226;226;226
y1963;CPA;728;728;728;728;728
y1963;EUR;474;474;474;474;474
y1963;FSU;217;217;217;217;217
y1963;LAM;234;234;234;234;234
y1963;MEA;104;104;104;104;104
y1963;NAM;208;208;208;208;208
y1963;PAO;110;110;110;110;110
y1963;PAS;209;209;209;209;209
y1963;SAS;616;616;616;616;616
y1964;AFR;232;232;232;232;232
y1964;CPA;745;745;745;745;745
y1964;EUR;478;478;478;478;478
y1964;FSU;220;220;220;220;220
y1964;LAM;241;241;241;241;241
y1964;MEA;107;107;107;107;107
y1964;NAM;211;211;211;211;211
y1964;PAO;112;112;112;112;112
y1964;PAS;214;214;214;214;214
y1964;SAS;631;631;631;631;631
y1965;AFR;237;237;237;237;237
y1965;CPA;763;763;763;763;763
y1965;EUR;483;483;483;483;483
y1965;FSU;223;223;223;223;223
y1965;LAM;247;247;247;247;247
y1965;MEA;110;110;110;110;110
y1965;NAM;214;214;214;214;214
y1965;PAO;113;113;113;113;113
y1965;PAS;220;220;220;220;220
y1965;SAS;646;646;646;646;646
y1966;AFR;243;243;243;243;243
y1966;CPA;784;784;784;784;784
y1966;EUR;487;487;487;487;487
y1966;FSU;226;226;226;226;226
y1966;LAM;254;254;254;254;254
y1966;MEA;113;113;113;113;113
y1966;NAM;217;217;217;217;217
y1966;PAO;114;114;114;114;114
y1966;PAS;225;225;225;225;225
y1966;SAS;662;662;662;662;662
y1967;AFR;250;250;250;250;250
y1967;CPA;805;805;805;805;805
y1967;EUR;491;491;491;491;491
y1967;FSU;228;228;228;228;228
y1967;LAM;261;261;261;261;261
y1967;MEA;116;116;116;116;116
y1967;NAM;219;219;219;219;219
y1967;PAO;115;115;115;115;115
y1967;PAS;231;231;231;231;231
y1967;SAS;678;678;678;678;678
y1968;AFR;256;256;256;256;256
y1968;CPA;826;826;826;826;826
y1968;EUR;495;495;495;495;495
y1968;FSU;230;230;230;230;230
y1968;LAM;267;267;267;267;267
y1968;MEA;120;120;120;120;120
y1968;NAM;221;221;221;221;221
y1968;PAO;116;116;116;116;116
y1968;PAS;237;237;237;237;237
y1968;SAS;694;694;694;694;694
y1969;AFR;262;262;262;262;262
y1969;CPA;848;848;848;848;848
y1969;EUR;499;499;499;499;499
y1969;FSU;233;233;233;233;233
y1969;LAM;274;274;274;274;274
y1969;MEA;123;123;123;123;123
y1969;NAM;224;224;224;224;224
y1969;PAO;118;118;118;118;118
y1969;PAS;243;243;243;243;243
y1969;SAS;711;711;711;711;711
y1970;AFR;269;269;269;269;269
y1970;CPA;872;872;872;872;872
y1970;EUR;503;503;503;503;503
y1970;FSU;235;235;235;235;235
y1970;LAM;281;281;281;281;281
y1970;MEA;127;127;127;127;127
y1970;NAM;226;226;226;226;226
y1970;PAO;120;120;120;120;120
y1970;PAS;249;249;249;249;249
y1970;SAS;728;728;728;728;728
y1971;AFR;276;276;276;276;276
y1971;CPA;896;896;896;896;896
y1971;EUR;507;507;507;507;507
y1971;FSU;237;237;237;237;237
y1971;LAM;288;288;288;288;288
y1971;MEA;130;130;130;130;130
y1971;NAM;229;229;229;229;229
y1971;PAO;122;122;122;122;122
y1971;PAS;256;256;256;256;256
y1971;SAS;746;746;746;746;746
y1972;AFR;284;284;284;284;284
y1972;CPA;918;918;918;918;918
y1972;EUR;511;511;511;511;511
y1972;FSU;239;239;239;239;239
y1972;LAM;296;296;296;296;296
y1972;MEA;134;134;134;134;134
y1972;NAM;232;232;232;232;232
y1972;PAO;123;123;123;123;123
y1972;PAS;262;262;262;262;262
