dummy;dummy;measured;a1_paper;a2_paper;b1_paper;b2_paper
y1961;AFR;0.08;0.08;0.08;0.08;0.08
y1961;CPA;0.04;0.04;0.04;0.04;0.04
y1961;EUR;0.26;0.26;0.26;0.26;0.26
y1961;FSU;0.21;0.21;0.21;0.21;0.21
y1961;LAM;0.16;0.16;0.16;0.16;0.16
y1961;MEA;0.09;0.09;0.09;0.09;0.09
y1961;NAM;0.35;0.35;0.35;0.35;0.35
y1961;PAO;0.14;0.14;0.14;0.14;0.14
y1961;PAS;0.06;0.06;0.06;0.06;0.06
y1961;SAS;0.06;0.06;0.06;0.06;0.06
y1962;AFR;0.08;0.08;0.08;0.08;0.08
y1962;CPA;0.05;0.05;0.05;0.05;0.05
y1962;EUR;0.26;0.26;0.26;0.26;0.26
y1962;FSU;0.22;0.22;0.22;0.22;0.22
y1962;LAM;0.16;0.16;0.16;0.16;0.16
y1962;MEA;0.09;0.09;0.09;0.09;0.09
y1962;NAM;0.35;0.35;0.35;0.35;0.35
y1962;PAO;0.15;0.15;0.15;0.15;0.15
y1962;PAS;0.06;0.06;0.06;0.06;0.06
y1962;SAS;0.06;0.06;0.06;0.06;0.06
y1963;AFR;0.08;0.08;0.08;0.08;0.08
y1963;CPA;0.06;0.06;0.06;0.06;0.06
y1963;EUR;0.26;0.26;0.26;0.26;0.26
y1963;FSU;0.23;0.23;0.23;0.23;0.23
y1963;LAM;0.16;0.16;0.16;0.16;0.16
y1963;MEA;0.09;0.09;0.09;0.09;0.09
y1963;NAM;0.35;0.35;0.35;0.35;0.35
y1963;PAO;0.15;0.15;0.15;0.15;0.15
y1963;PAS;0.06;0.06;0.06;0.06;0.06
y1963;SAS;0.06;0.06;0.06;0.06;0.06
y1964;AFR;0.08;0.08;0.08;0.08;0.08
y1964;CPA;0.07;0.07;0.07;0.07;0.07
y1964;EUR;0.27;0.27;0.27;0.27;0.27
y1964;FSU;0.21;0.21;0.21;0.21;0.21
y1964;LAM;0.16;0.16;0.16;0.16;0.16
y1964;MEA;0.09;0.09;0.09;0.09;0.09
y1964;NAM;0.35;0.35;0.35;0.35;0.35
y1964;PAO;0.15;0.15;0.15;0.15;0.15
y1964;PAS;0.06;0.06;0.06;0.06;0.06
y1964;SAS;0.06;0.06;0.06;0.06;0.06
y1965;AFR;0.08;0.08;0.08;0.08;0.08
y1965;CPA;0.07;0.07;0.07;0.07;0.07
y1965;EUR;0.27;0.27;0.27;0.27;0.27
y1965;FSU;0.21;0.21;0.21;0.21;0.21
y1965;LAM;0.16;0.16;0.16;0.16;0.16
y1965;MEA;0.09;0.09;0.09;0.09;0.09
y1965;NAM;0.35;0.35;0.35;0.35;0.35
y1965;PAO;0.17;0.17;0.17;0.17;0.17
y1965;PAS;0.06;0.06;0.06;0.06;0.06
y1965;SAS;0.06;0.06;0.06;0.06;0.06
y1966;AFR;0.08;0.08;0.08;0.08;0.08
y1966;CPA;0.07;0.07;0.07;0.07;0.07
y1966;EUR;0.27;0.27;0.27;0.27;0.27
y1966;FSU;0.22;0.22;0.22;0.22;0.22
y1966;LAM;0.16;0.16;0.16;0.16;0.16
y1966;MEA;0.09;0.09;0.09;0.09;0.09
y1966;NAM;0.34;0.34;0.34;0.34;0.34
y1966;PAO;0.17;0.17;0.17;0.17;0.17
y1966;PAS;0.06;0.06;0.06;0.06;0.06
y1966;SAS;0.06;0.06;0.06;0.06;0.06
y1967;AFR;0.08;0.08;0.08;0.08;0.08
y1967;CPA;0.07;0.07;0.07;0.07;0.07
y1967;EUR;0.27;0.27;0.27;0.27;0.27
y1967;FSU;0.23;0.23;0.23;0.23;0.23
y1967;LAM;0.16;0.16;0.16;0.16;0.16
y1967;MEA;0.09;0.09;0.09;0.09;0.09
y1967;NAM;0.34;0.34;0.34;0.34;0.34
y1967;PAO;0.17;0.17;0.17;0.17;0.17
y1967;PAS;0.06;0.06;0.06;0.06;0.06
y1967;SAS;0.06;0.06;0.06;0.06;0.06
y1968;AFR;0.08;0.08;0.08;0.08;0.08
y1968;CPA;0.07;0.07;0.07;0.07;0.07
y1968;EUR;0.27;0.27;0.27;0.27;0.27
y1968;FSU;0.24;0.24;0.24;0.24;0.24
y1968;LAM;0.16;0.16;0.16;0.16;0.16
y1968;MEA;0.09;0.09;0.09;0.09;0.09
y1968;NAM;0.34;0.34;0.34;0.34;0.34
y1968;PAO;0.18;0.18;0.18;0.18;0.18
y1968;PAS;0.06;0.06;0.06;0.06;0.06
y1968;SAS;0.06;0.06;0.06;0.06;0.06
y1969;AFR;0.08;0.08;0.08;0.08;0.08
y1969;CPA;0.07;0.07;0.07;0.07;0.07
y1969;EUR;0.28;0.28;0.28;0.28;0.28
y1969;FSU;0.24;0.24;0.24;0.24;0.24
y1969;LAM;0.16;0.16;0.16;0.16;0.16
y1969;MEA;0.09;0.09;0.09;0.09;0.09
y1969;NAM;0.33;0.33;0.33;0.33;0.33
y1969;PAO;0.19;0.19;0.19;0.19;0.19
y1969;PAS;0.06;0.06;0.06;0.06;0.06
y1969;SAS;0.06;0.06;0.06;0.06;0.06
y1970;AFR;0.08;0.08;0.08;0.08;0.08
y1970;CPA;0.06;0.06;0.06;0.06;0.06
y1970;EUR;0.28;0.28;0.28;0.28;0.28
y1970;FSU;0.25;0.25;0.25;0.25;0.25
y1970;LAM;0.16;0.16;0.16;0.16;0.16
y1970;MEA;0.09;0.09;0.09;0.09;0.09
y1970;NAM;0.33;0.33;0.33;0.33;0.33
y1970;PAO;0.19;0.19;0.19;0.19;0.19
y1970;PAS;0.06;0.06;0.06;0.06;0.06
y1970;SAS;0.05;0.05;0.05;0.05;0.05
y1971;AFR;0.08;0.08;0.08;0.08;0.08
y1971;CPA;0.07;0.07;0.07;0.07;0.07
y1971;EUR;0.28;0.28;0.28;0.28;0.28
y1971;FSU;0.25;0.25;0.25;0.25;0.25
y1971;LAM;0.16;0.16;0.16;0.16;0.16
y1971;MEA;0.09;0.09;0.09;0.09;0.09
y1971;NAM;0.33;0.33;0.33;0.33;0.33
y1971;PAO;0.2;0.2;0.2;0.2;0.2
y1971;PAS;0.06;0.06;0.06;0.06;0.06
y1971;SAS;0.06;0.06;0.06;0.06;0.06
y1972;AFR;0.08;0.08;0.08;0.08;0.08
y1972;CPA;0.07;0.07;0.07;0.07;0.07
y1972;EUR;0.28;0.28;0.28;0.28;0.28
y1972;FSU;0.25;0.25;0.25;0.25;0.25
y1972;LAM;0.16;0.16;0.16;0.16;0.16
y1972;MEA;0.09;0.09;0.09;0.09;0.09
y1972;NAM;0.33;0.33;0.33;0.33;0.33
y1972;PAO;0.2;0.2;0.2;0.2;0.2
y1972;PAS;0.06;0.06;0.06;0.06;0.06
y1972;SAS;0.06;0.06;0.06;0.06;0.06
y1973;AFR;0.08;0.08;0.08;0.08;0.08
y1973;CPA;0.07;0.07;0.07;0.07;0.07
y1973;EUR;0.28;0.28;0.28;0.28;0.28
y1973;FSU;0.25;0.25;0.25;0.25;0.25
y1973;LAM;0.16;0.16;0.16;0.16;0.16
y1973;MEA;0.09;0.09;0.09;0.09;0.09
y1973;NAM;0.31;0.31;0.31;0.31;0.31
y1973;PAO;0.2;0.2;0.2;0.2;0.2
y1973;PAS;0.06;0.06;0.06;0.06;0.06
y1973;SAS;0.06;0.06;0.06;0.06;0.06
y1974;AFR;0.08;0.08;0.08;0.08;0.08
y1974;CPA;0.07;0.07;0.07;0.07;0.07
y1974;EUR;0.29;0.29;0.29;0.29;0.29
y1974;FSU;0.26;0.26;0.26;0.26;0.26
y1974;LAM;0.16;0.16;0.16;0.16;0.16
y1974;MEA;0.09;0.09;0.09;0.09;0.09
y1974;NAM;0.32;0.32;0.32;0.32;0.32
y1974;PAO;0.2;0.2;0.2;0.2;0.2
y1974;PAS;0.06;0.06;0.06;0.06;0.06
y1974;SAS;0.06;0.06;0.06;0.06;0.06
y1975;AFR;0.08;0.08;0.08;0.08;0.08
y1975;CPA;0.07;0.07;0.07;0.07;0.07
y1975;EUR;0.29;0.29;0.29;0.29;0.29
y1975;FSU;0.26;0.26;0.26;0.26;0.26
y1975;LAM;0.17;0.17;0.17;0.17;0.17
y1975;MEA;0.09;0.09;0.09;0.09;0.09
y1975;NAM;0.3;0.3;0.3;0.3;0.3
y1975;PAO;0.21;0.21;0.21;0.21;0.21
y1975;PAS;0.06;0.06;0.06;0.06;0.06
y1975;SAS;0.06;0.06;0.06;0.06;0.06
y1976;AFR;0.08;0.08;0.08;0.08;0.08
y1976;CPA;0.07;0.07;0.07;0.07;0.07
y1976;EUR;0.29;0.29;0.29;0.29;0.29
y1976;FSU;0.26;0.26;0.26;0.26;0.26
y1976;LAM;0.17;0.17;0.17;0.17;0.17
y1976;MEA;0.1;0.1;0.1;0.1;0.1
y1976;NAM;0.3;0.3;0.3;0.3;0.3
y1976;PAO;0.21;0.21;0.21;0.21;0.21
y1976;PAS;0.06;0.06;0.06;0.06;0.06
y1976;SAS;0.06;0.06;0.06;0.06;0.06
y1977;AFR;0.08;0.08;0.08;0.08;0.08
y1977;CPA;0.07;0.07;0.07;0.07;0.07
y1977;EUR;0.29;0.29;0.29;0.29;0.29
y1977;FSU;0.25;0.25;0.25;0.25;0.25
y1977;LAM;0.17;0.17;0.17;0.17;0.17
y1977;MEA;0.1;0.1;0.1;0.1;0.1
y1977;NAM;0.31;0.31;0.31;0.31;0.31
y1977;PAO;0.21;0.21;0.21;0.21;0.21
y1977;PAS;0.07;0.07;0.07;0.07;0.07
y1977;SAS;0.06;0.06;0.06;0.06;0.06
